,Group
0,3(268)
1,1(311)
2,1(311)
3,5(394)
4,4(200)
5,5(394)
6,5(394)
7,5(394)
8,1(311)
9,5(394)
10,5(394)
11,1(311)
12,5(394)
13,5(394)
14,5(394)
15,1(311)
16,2(305)
17,3(268)
18,4(200)
19,5(394)
20,5(394)
21,5(394)
22,5(394)
23,5(394)
24,5(394)
25,5(394)
26,5(394)
27,1(311)
28,1(311)
29,1(311)
30,1(311)
31,3(268)
32,1(311)
33,1(311)
34,1(311)
35,1(311)
36,4(200)
37,5(394)
38,1(311)
39,5(394)
40,1(311)
41,1(311)
42,1(311)
43,1(311)
44,1(311)
45,1(311)
46,1(311)
47,1(311)
48,1(311)
49,1(311)
50,1(311)
51,1(311)
52,1(311)
53,1(311)
54,1(311)
55,1(311)
56,1(311)
57,1(311)
58,1(311)
59,5(394)
60,5(394)
61,1(311)
62,1(311)
63,4(200)
64,4(200)
65,1(311)
66,3(268)
67,5(394)
68,5(394)
69,1(311)
70,1(311)
71,1(311)
72,1(311)
73,1(311)
74,4(200)
75,3(268)
76,3(268)
77,4(200)
78,3(268)
79,3(268)
80,5(394)
81,5(394)
82,1(311)
83,5(394)
84,1(311)
85,5(394)
86,1(311)
87,5(394)
88,5(394)
89,5(394)
90,5(394)
91,3(268)
92,3(268)
93,3(268)
94,2(305)
95,1(311)
96,5(394)
97,5(394)
98,5(394)
99,2(305)
100,5(394)
101,5(394)
102,5(394)
103,3(268)
104,3(268)
105,3(268)
106,3(268)
107,4(200)
108,5(394)
109,5(394)
110,5(394)
111,5(394)
112,5(394)
113,5(394)
114,5(394)
115,3(268)
116,5(394)
117,5(394)
118,5(394)
119,3(268)
120,5(394)
121,3(268)
122,3(268)
123,3(268)
124,3(268)
125,1(311)
126,5(394)
127,2(305)
128,3(268)
129,5(394)
130,5(394)
131,5(394)
132,3(268)
133,1(311)
134,3(268)
135,5(394)
136,5(394)
137,5(394)
138,3(268)
139,3(268)
140,3(268)
141,2(305)
142,3(268)
143,2(305)
144,3(268)
145,2(305)
146,3(268)
147,3(268)
148,5(394)
149,5(394)
150,5(394)
151,2(305)
152,4(200)
153,3(268)
154,5(394)
155,5(394)
156,2(305)
157,2(305)
158,2(305)
159,2(305)
160,2(305)
161,2(305)
162,3(268)
163,5(394)
164,5(394)
165,5(394)
166,5(394)
167,1(311)
168,5(394)
169,5(394)
170,2(305)
171,2(305)
172,3(268)
173,4(200)
174,1(311)
175,3(268)
176,3(268)
177,2(305)
178,1(311)
179,4(200)
180,3(268)
181,3(268)
182,3(268)
183,3(268)
