,Group
0,2(1695)
1,2(1695)
2,4(2003)
3,4(2003)
4,5(1678)
5,4(2003)
6,1(1511)
7,4(2003)
8,4(2003)
9,5(1678)
10,4(2003)
11,4(2003)
12,5(1678)
13,4(2003)
14,2(1695)
15,3(944)
16,5(1678)
17,2(1695)
18,3(944)
19,2(1695)
20,1(1511)
21,1(1511)
22,4(2003)
23,1(1511)
24,1(1511)
25,2(1695)
26,5(1678)
27,1(1511)
28,2(1695)
29,2(1695)
30,5(1678)
31,5(1678)
32,2(1695)
33,3(944)
34,4(2003)
35,1(1511)
36,1(1511)
37,5(1678)
38,5(1678)
39,4(2003)
40,3(944)
41,4(2003)
42,4(2003)
43,5(1678)
44,2(1695)
45,1(1511)
46,1(1511)
47,5(1678)
48,4(2003)
49,2(1695)
50,5(1678)
51,5(1678)
52,1(1511)
53,1(1511)
54,4(2003)
55,2(1695)
56,2(1695)
57,4(2003)
58,3(944)
59,2(1695)
60,3(944)
61,4(2003)
62,4(2003)
63,5(1678)
64,1(1511)
65,1(1511)
66,4(2003)
67,5(1678)
68,4(2003)
69,1(1511)
70,5(1678)
71,3(944)
72,5(1678)
73,4(2003)
74,3(944)
75,2(1695)
76,3(944)
77,4(2003)
78,1(1511)
79,2(1695)
80,1(1511)
81,1(1511)
82,1(1511)
83,1(1511)
84,5(1678)
85,4(2003)
86,1(1511)
87,1(1511)
88,2(1695)
89,1(1511)
90,4(2003)
91,2(1695)
92,1(1511)
93,2(1695)
94,1(1511)
95,5(1678)
96,3(944)
97,3(944)
98,3(944)
99,1(1511)
100,5(1678)
101,5(1678)
102,3(944)
103,2(1695)
104,4(2003)
105,4(2003)
106,2(1695)
107,5(1678)
108,5(1678)
109,2(1695)
110,2(1695)
111,4(2003)
112,3(944)
113,5(1678)
114,2(1695)
115,4(2003)
116,1(1511)
117,1(1511)
118,5(1678)
119,4(2003)
120,1(1511)
121,3(944)
122,5(1678)
123,4(2003)
124,4(2003)
125,5(1678)
126,5(1678)
127,2(1695)
128,5(1678)
129,4(2003)
130,4(2003)
131,3(944)
132,5(1678)
133,5(1678)
134,2(1695)
135,5(1678)
136,4(2003)
137,5(1678)
138,4(2003)
139,1(1511)
140,4(2003)
141,5(1678)
142,5(1678)
143,4(2003)
144,4(2003)
145,1(1511)
146,4(2003)
147,4(2003)
148,1(1511)
149,1(1511)
150,4(2003)
151,4(2003)
152,5(1678)
153,4(2003)
154,5(1678)
155,1(1511)
156,2(1695)
157,2(1695)
158,3(944)
159,1(1511)
160,4(2003)
161,4(2003)
162,3(944)
163,1(1511)
164,3(944)
165,2(1695)
166,4(2003)
167,2(1695)
168,4(2003)
169,5(1678)
170,1(1511)
171,1(1511)
172,4(2003)
173,3(944)
174,2(1695)
175,5(1678)
176,4(2003)
177,5(1678)
178,3(944)
179,5(1678)
180,1(1511)
181,5(1678)
182,5(1678)
183,1(1511)
184,5(1678)
185,4(2003)
186,2(1695)
187,4(2003)
188,1(1511)
189,5(1678)
190,5(1678)
191,5(1678)
192,2(1695)
193,3(944)
194,5(1678)
195,3(944)
196,4(2003)
197,4(2003)
198,4(2003)
199,4(2003)
200,4(2003)
201,3(944)
202,2(1695)
203,5(1678)
204,5(1678)
205,1(1511)
206,1(1511)
207,3(944)
208,4(2003)
209,2(1695)
210,1(1511)
211,2(1695)
212,4(2003)
213,4(2003)
214,4(2003)
215,2(1695)
216,5(1678)
217,4(2003)
218,5(1678)
219,4(2003)
220,5(1678)
221,4(2003)
222,5(1678)
223,5(1678)
224,4(2003)
225,1(1511)
226,1(1511)
227,2(1695)
228,4(2003)
229,5(1678)
230,1(1511)
231,1(1511)
232,3(944)
233,4(2003)
234,4(2003)
235,4(2003)
236,3(944)
237,2(1695)
238,2(1695)
239,3(944)
240,1(1511)
241,3(944)
242,4(2003)
243,4(2003)
244,2(1695)
245,4(2003)
246,4(2003)
247,2(1695)
248,1(1511)
249,5(1678)
250,5(1678)
251,5(1678)
252,1(1511)
253,5(1678)
254,3(944)
255,4(2003)
256,5(1678)
257,2(1695)
258,1(1511)
259,1(1511)
260,4(2003)
261,5(1678)
262,1(1511)
263,2(1695)
264,3(944)
265,3(944)
266,5(1678)
267,2(1695)
268,5(1678)
269,1(1511)
270,3(944)
271,5(1678)
272,5(1678)
273,2(1695)
274,4(2003)
275,4(2003)
276,1(1511)
277,3(944)
278,1(1511)
279,5(1678)
280,1(1511)
281,5(1678)
282,2(1695)
283,1(1511)
284,5(1678)
285,5(1678)
286,5(1678)
287,5(1678)
288,3(944)
289,2(1695)
290,2(1695)
291,4(2003)
292,4(2003)
293,4(2003)
294,2(1695)
295,2(1695)
296,1(1511)
297,4(2003)
298,2(1695)
299,5(1678)
300,5(1678)
301,5(1678)
302,2(1695)
303,4(2003)
304,2(1695)
305,2(1695)
306,1(1511)
307,2(1695)
308,1(1511)
309,3(944)
310,2(1695)
311,3(944)
312,5(1678)
313,5(1678)
314,4(2003)
315,5(1678)
316,2(1695)
317,5(1678)
318,2(1695)
319,1(1511)
320,5(1678)
321,5(1678)
322,5(1678)
323,5(1678)
324,2(1695)
325,4(2003)
326,3(944)
327,5(1678)
328,1(1511)
329,1(1511)
330,4(2003)
331,4(2003)
332,3(944)
333,2(1695)
334,3(944)
335,1(1511)
336,5(1678)
337,4(2003)
338,5(1678)
339,4(2003)
340,1(1511)
341,3(944)
342,2(1695)
343,2(1695)
344,1(1511)
345,4(2003)
346,4(2003)
347,2(1695)
348,4(2003)
349,1(1511)
350,5(1678)
351,4(2003)
352,1(1511)
353,4(2003)
354,2(1695)
355,4(2003)
356,4(2003)
357,2(1695)
358,2(1695)
359,2(1695)
360,2(1695)
361,2(1695)
362,4(2003)
363,5(1678)
364,2(1695)
365,5(1678)
366,2(1695)
367,1(1511)
368,5(1678)
369,3(944)
370,2(1695)
371,2(1695)
372,5(1678)
373,2(1695)
374,1(1511)
375,2(1695)
376,4(2003)
377,2(1695)
378,4(2003)
379,3(944)
380,5(1678)
381,2(1695)
382,2(1695)
383,1(1511)
384,1(1511)
385,3(944)
386,2(1695)
387,2(1695)
388,2(1695)
389,2(1695)
390,3(944)
391,1(1511)
392,5(1678)
