,rd_2,rd_32,rd_128,rd_512,rd_1024
0,3,4,2,2,1
1,3,3,3,2,3
2,1,3,4,4,3
3,1,3,1,3,4
4,1,3,2,5,3
5,4,1,1,2,1
6,2,5,3,2,1
7,1,2,1,4,5
8,5,2,2,4,5
9,5,5,4,4,4
10,4,4,5,1,2
11,3,2,4,3,4
12,4,4,1,1,5
13,4,1,4,3,5
14,2,4,3,4,3
15,3,1,3,2,2
16,3,1,5,3,3
17,2,3,1,3,2
18,2,1,4,2,2
19,5,1,5,1,2
20,2,5,5,3,4
21,2,5,3,4,1
22,3,4,5,3,2
23,3,4,3,2,1
24,4,5,1,2,5
25,4,2,3,5,1
26,4,2,3,3,2
27,4,2,3,2,4
28,3,4,3,3,4
29,4,4,4,5,3
30,4,2,1,3,1
31,5,4,3,5,5
32,4,3,5,3,5
33,2,2,5,5,2
34,5,4,4,4,3
35,4,5,4,3,2
36,3,2,4,5,4
37,1,3,3,3,5
38,4,2,2,3,3
39,5,1,5,5,3
40,2,2,5,1,1
41,2,3,2,5,3
42,4,3,5,4,4
43,5,1,4,4,1
44,5,1,5,1,2
45,1,2,2,5,2
46,2,3,2,4,4
47,2,2,4,3,3
48,4,4,5,4,5
49,5,1,1,5,2
50,3,2,2,3,2
51,5,1,5,3,2
52,1,1,4,2,1
53,4,5,5,2,1
54,4,4,3,2,1
55,4,4,3,1,1
56,3,1,3,2,5
57,5,4,4,2,3
58,2,1,2,4,2
59,4,1,4,1,4
60,3,3,3,3,1
61,1,5,2,2,5
62,2,5,3,1,2
63,5,1,5,3,4
64,5,5,2,2,2
65,1,2,5,2,4
66,1,4,2,2,3
67,3,1,1,4,2
68,1,2,4,3,4
69,1,1,4,3,5
70,2,1,3,4,2
71,1,5,3,2,3
72,4,3,5,1,2
73,4,3,1,1,5
74,3,1,5,3,5
75,3,5,2,1,4
76,1,5,4,2,1
77,3,5,3,1,3
78,4,5,4,3,3
79,5,1,3,2,5
80,1,4,1,3,2
81,5,2,2,2,3
82,1,3,2,3,5
83,1,1,3,4,4
84,1,2,3,2,5
85,1,1,3,5,4
86,3,1,5,3,3
87,5,5,1,2,2
88,5,5,3,1,5
89,2,2,4,5,3
90,3,3,4,3,5
91,3,2,1,5,3
92,5,3,3,4,2
93,1,5,2,2,1
94,4,3,4,1,3
95,5,4,2,2,2
96,5,3,4,1,3
97,5,1,3,1,2
98,5,5,3,3,2
99,3,1,1,1,2
100,4,5,3,3,2
101,1,4,5,5,1
102,2,4,1,3,3
103,4,4,1,4,2
104,3,4,4,3,5
105,5,1,3,2,4
106,5,4,4,4,3
107,3,4,4,4,4
108,2,4,5,3,4
109,2,2,1,4,4
110,4,2,2,2,4
111,2,2,5,3,3
112,1,4,1,1,4
113,4,1,3,5,1
114,1,3,2,2,2
115,5,2,4,2,1
116,3,3,3,1,4
117,1,2,2,3,4
118,4,3,4,5,5
119,1,4,4,3,2
120,3,5,5,1,5
121,5,3,4,3,3
122,5,3,3,2,3
123,1,1,3,1,4
124,5,1,4,5,2
125,4,5,5,1,1
126,3,5,3,3,3
127,2,3,2,3,3
128,2,4,2,2,5
129,2,5,5,5,5
130,4,4,4,4,2
131,4,1,5,5,1
132,5,4,1,4,4
133,4,2,3,3,1
134,3,5,2,2,1
135,4,3,1,2,2
136,4,2,5,3,3
137,1,4,5,3,4
138,4,4,4,4,5
139,4,2,4,5,3
140,5,3,3,2,4
141,2,2,5,3,2
142,1,2,3,1,4
143,1,1,4,4,1
144,5,3,2,5,3
145,1,3,4,5,4
146,2,2,1,1,2
147,4,1,4,2,3
148,3,3,3,4,1
149,5,1,4,4,5
150,4,4,2,1,1
151,4,3,1,1,5
152,3,5,3,4,1
153,5,4,5,1,1
154,1,1,2,4,3
155,1,4,4,1,2
156,2,4,3,4,4
157,1,1,5,2,3
158,3,4,3,2,1
159,4,5,3,1,3
160,2,1,1,5,1
161,1,1,2,4,2
162,5,4,4,5,1
163,4,4,3,3,4
164,3,4,1,4,4
165,4,5,5,4,5
166,4,3,5,1,5
167,4,4,2,1,3
168,4,4,3,2,1
169,2,3,5,5,4
170,5,4,4,4,2
171,2,1,3,3,4
172,3,1,4,2,1
173,1,3,4,1,3
174,3,3,3,2,2
175,3,5,1,5,2
176,1,5,5,5,5
177,2,4,5,3,3
178,4,1,2,3,3
179,3,4,5,3,4
180,1,5,2,2,4
181,1,5,2,3,2
182,3,2,5,3,5
183,2,4,3,5,1
184,4,2,2,2,1
185,2,5,2,2,1
186,5,4,5,3,4
187,5,5,1,1,1
188,2,3,2,1,3
189,5,5,1,3,4
190,5,2,5,3,3
191,4,5,3,1,3
192,2,4,5,3,1
193,3,1,2,1,1
194,2,5,4,4,4
195,5,3,2,4,4
196,4,1,2,2,2
197,1,4,2,2,1
198,4,5,4,3,3
199,1,1,3,5,1
200,3,5,1,1,1
201,3,4,2,2,3
202,3,2,5,4,1
203,3,4,1,3,3
204,2,2,3,4,3
205,3,1,3,1,2
206,4,4,1,4,3
207,5,5,2,4,1
208,4,3,3,1,5
209,2,1,3,4,1
210,4,2,5,2,2
211,5,5,1,5,4
212,2,5,2,4,2
213,3,2,2,3,1
214,4,4,4,5,1
215,1,3,3,3,3
216,4,3,2,1,3
217,4,3,5,2,1
218,5,2,1,4,2
219,3,4,2,2,4
220,5,3,2,4,4
221,3,5,2,5,1
222,4,2,2,2,3
223,3,4,1,1,2
224,5,3,3,5,4
225,4,3,5,2,1
226,1,4,4,1,1
227,3,1,3,5,2
228,4,5,4,3,1
229,5,5,3,3,4
230,1,2,4,5,2
231,1,1,4,2,2
232,1,1,3,3,5
233,5,2,5,3,2
234,4,1,3,3,5
235,2,1,4,1,2
236,1,5,4,4,4
237,3,2,1,5,4
238,4,1,2,4,2
239,1,2,4,4,4
240,1,2,4,2,5
241,1,3,4,2,1
242,4,1,3,3,1
243,5,5,1,5,5
244,4,5,5,3,3
245,5,3,5,3,4
246,1,2,5,3,1
247,4,4,4,3,1
248,1,4,4,4,3
249,2,5,4,3,2
250,3,3,2,1,5
251,2,2,1,3,4
252,3,5,3,4,5
253,5,5,1,1,5
254,4,2,5,1,2
255,5,4,2,4,5
256,2,5,5,4,4
257,4,5,1,5,5
258,2,2,4,1,2
259,2,2,2,5,3
260,5,3,2,2,2
261,5,2,2,1,1
262,3,4,1,4,4
263,1,3,4,2,5
264,3,4,3,4,3
265,2,5,2,4,2
266,4,4,5,5,2
267,3,2,1,5,3
268,1,3,3,1,2
269,5,3,3,3,5
270,1,1,3,5,4
271,1,5,1,3,1
272,2,4,3,2,1
273,2,2,1,2,1
274,5,4,3,2,2
275,1,2,2,2,1
276,4,4,3,2,4
277,1,2,4,3,1
278,1,2,5,4,2
279,2,2,4,5,4
280,1,1,2,2,2
281,3,4,1,3,1
282,5,1,1,4,1
283,2,1,1,5,5
284,1,5,4,1,4
285,2,3,1,1,1
286,2,5,3,1,3
287,2,3,4,4,1
288,1,5,4,2,2
289,4,3,2,2,2
290,3,2,3,4,5
291,3,4,3,1,1
292,4,1,4,4,1
293,3,4,3,5,1
294,1,4,1,3,2
295,3,2,2,3,1
296,5,2,1,1,4
297,3,5,5,5,4
298,5,4,4,3,1
299,5,4,4,1,2
300,4,1,1,4,4
301,2,4,3,2,3
302,4,1,4,3,5
303,4,5,1,2,1
304,2,4,4,1,1
305,1,4,2,1,4
306,5,5,4,3,4
307,2,2,3,5,2
308,2,3,2,5,3
309,2,2,4,1,3
310,3,1,4,4,4
311,2,3,1,2,1
312,2,4,2,2,3
313,2,2,1,5,4
314,4,5,3,5,4
315,2,3,2,1,1
316,1,2,4,5,2
317,3,4,2,1,4
318,2,1,2,1,2
319,3,4,2,5,5
320,4,4,2,1,2
321,3,3,1,1,2
322,2,2,2,5,5
323,1,1,3,4,5
324,5,1,1,1,1
325,3,1,4,5,3
326,3,4,2,2,5
327,3,4,5,3,5
328,3,4,2,5,3
329,4,2,1,3,3
330,3,1,1,1,4
331,4,3,5,5,3
332,1,1,2,3,5
333,2,5,2,3,5
334,2,3,2,4,2
335,2,3,5,5,2
336,2,5,2,5,3
337,5,5,1,4,3
338,3,5,5,4,3
339,4,4,2,3,2
340,4,2,1,4,4
341,2,3,4,4,1
342,3,5,3,1,3
343,3,2,2,5,3
344,1,2,5,3,3
345,3,5,5,5,1
346,2,3,5,2,2
347,3,2,3,2,1
348,5,1,5,3,5
349,2,3,2,1,4
350,5,5,4,2,5
351,3,2,2,3,5
352,1,4,2,4,5
353,2,4,2,4,1
354,1,4,3,1,5
355,1,2,2,4,4
356,1,5,1,5,1
357,5,4,4,2,2
358,5,4,2,5,5
359,5,1,1,1,2
360,5,1,3,5,1
361,1,3,3,3,4
362,5,3,2,1,1
363,2,2,3,2,3
364,5,3,3,4,1
365,1,3,2,1,2
366,5,1,5,3,5
367,2,5,5,2,3
368,1,3,3,5,5
369,2,4,1,5,2
370,1,2,5,5,1
371,2,4,1,5,2
372,1,2,4,4,4
373,4,2,1,3,3
374,3,3,2,3,5
375,3,1,5,1,5
376,1,1,1,4,4
