,rd_2,rd_32,rd_128,rd_512,rd_1024
0,1,5,2,5,3
1,2,3,3,4,4
2,1,1,3,4,5
3,4,2,5,1,4
4,3,4,1,2,4
5,3,4,2,3,1
6,2,4,2,1,3
7,4,1,2,3,3
8,1,1,2,5,5
9,5,4,5,4,1
10,3,4,5,3,4
11,1,1,4,3,4
12,5,4,4,5,4
13,1,1,2,2,2
14,4,5,5,4,5
15,3,1,2,4,4
16,3,3,5,5,1
17,1,5,4,2,3
18,4,4,4,2,2
19,3,5,2,3,3
20,4,1,1,3,3
21,4,3,1,3,4
22,2,4,1,3,3
23,4,4,4,4,5
24,5,4,3,2,2
25,4,1,5,2,3
26,2,4,2,2,4
27,4,4,5,3,3
28,5,3,3,2,1
29,4,1,1,1,1
30,1,5,1,1,5
31,2,1,4,4,5
32,4,2,5,4,4
33,2,5,4,2,3
34,4,4,4,2,5
35,2,1,2,4,1
36,5,3,4,5,2
37,3,1,3,3,2
38,5,3,1,4,3
39,2,4,3,1,3
40,5,2,1,3,5
41,5,2,5,3,5
42,3,3,5,1,1
43,4,3,3,3,3
44,1,1,3,5,2
45,4,5,1,1,3
46,5,2,3,5,3
47,5,1,1,5,3
48,1,5,1,3,1
49,1,3,1,2,5
50,1,1,3,2,2
51,4,5,3,1,4
52,1,3,1,5,1
53,4,2,2,1,3
54,3,5,5,4,5
55,2,1,4,2,1
56,5,4,5,5,5
57,5,5,2,2,1
58,2,3,4,5,5
59,1,5,1,3,5
60,5,1,1,5,4
61,2,1,4,3,4
62,1,4,2,3,1
63,1,4,1,5,1
64,1,3,4,2,4
65,5,4,1,2,5
66,4,2,3,5,2
67,5,1,5,3,4
68,4,5,2,2,2
69,5,5,5,4,2
70,1,5,1,1,2
71,3,2,5,1,4
72,1,1,2,5,3
73,3,5,2,1,4
74,5,3,5,5,4
75,5,5,2,4,4
76,1,4,4,1,4
77,2,1,5,2,3
78,2,4,5,1,4
79,2,1,2,4,1
80,5,5,1,2,5
81,2,1,2,2,1
82,3,3,3,1,3
83,4,3,3,1,5
84,1,1,2,1,5
85,5,2,5,3,3
86,3,4,2,4,1
87,1,3,5,4,4
88,3,5,1,4,1
89,1,3,5,3,2
90,3,4,5,1,3
91,1,4,4,3,4
92,5,1,2,1,1
93,3,5,1,3,1
94,1,1,4,4,2
95,4,2,1,3,3
96,5,5,2,1,1
97,5,4,5,1,5
98,2,1,3,2,2
99,2,3,5,2,5
100,3,2,4,5,3
101,2,5,3,1,4
102,1,3,4,5,5
103,2,5,2,1,4
104,5,3,4,4,1
105,1,4,1,5,4
106,4,1,4,4,4
107,1,1,5,1,1
108,5,5,5,2,1
109,1,2,2,4,3
110,4,2,2,3,2
111,3,3,4,4,3
112,4,2,3,3,5
113,4,4,5,5,3
114,4,2,2,1,3
115,5,2,4,5,1
116,2,1,2,4,3
117,1,2,3,3,2
118,1,1,3,4,4
119,2,3,3,5,1
120,3,1,5,1,5
121,1,5,3,3,3
122,2,3,1,4,1
123,1,3,1,4,1
124,4,2,2,5,1
125,2,2,1,4,3
126,3,1,4,4,5
127,3,4,2,5,2
128,4,3,4,3,5
129,4,5,5,1,3
130,1,3,1,4,4
131,3,5,2,5,5
132,5,4,2,3,4
133,4,3,2,3,3
134,5,3,5,4,5
135,3,1,1,5,5
136,3,5,5,2,2
137,5,5,3,5,4
138,2,1,3,5,3
139,5,1,4,5,1
140,4,4,3,5,1
141,3,1,2,2,2
142,1,3,1,2,1
143,1,4,5,2,4
144,5,2,1,4,4
145,1,1,1,1,1
146,2,2,3,4,1
147,2,4,4,3,4
148,3,4,2,5,1
149,4,2,3,1,2
150,2,3,3,3,3
151,1,4,3,4,5
152,2,2,2,4,3
153,1,1,5,5,3
154,2,2,5,2,5
155,4,5,5,1,4
156,3,1,3,5,3
157,4,2,3,1,5
158,4,1,2,2,4
159,1,5,3,2,1
160,5,5,2,2,3
161,4,5,2,2,5
162,1,2,4,2,2
163,4,4,3,1,1
164,3,5,2,4,5
165,5,4,1,5,1
166,3,2,1,4,3
167,3,5,2,2,3
168,2,5,4,4,3
169,1,5,4,1,1
170,5,1,1,4,1
171,2,3,2,1,2
172,1,3,4,4,3
173,3,3,1,4,3
174,3,4,4,1,1
175,3,1,2,1,5
176,2,2,3,5,1
177,5,5,4,3,1
178,4,5,3,5,5
179,4,5,5,2,4
180,4,1,2,1,5
181,5,2,5,1,3
182,1,4,2,1,2
183,3,2,3,2,5
184,3,4,4,1,1
185,4,2,1,2,5
186,2,4,2,1,3
187,1,4,5,3,4
188,1,4,1,4,4
189,1,5,5,3,2
190,5,3,3,4,5
191,4,4,3,3,1
192,2,2,3,3,5
193,1,5,3,1,4
194,1,3,3,3,1
195,4,1,2,3,5
196,1,3,1,4,4
197,5,2,3,3,3
198,4,4,4,3,5
199,2,5,4,4,1
200,1,2,4,2,2
201,4,1,2,1,5
202,3,1,4,3,1
203,3,5,3,3,4
204,1,1,4,3,1
205,4,3,5,5,4
206,3,2,5,1,1
207,4,2,3,2,3
208,4,5,2,5,5
209,1,2,1,5,2
210,5,2,4,3,3
211,2,4,3,5,2
212,2,2,4,4,3
213,4,5,1,1,1
214,1,2,1,1,2
215,5,3,4,2,1
216,3,3,5,1,5
217,5,5,1,3,4
218,3,4,4,4,3
219,4,3,1,3,4
220,3,3,2,3,5
221,1,2,2,5,3
222,1,5,3,4,2
223,4,5,2,2,4
224,3,4,2,5,3
225,2,2,5,5,4
226,5,5,4,1,4
227,4,2,5,5,3
228,2,4,5,2,2
229,2,1,3,3,1
230,2,1,5,5,1
231,3,2,4,4,1
232,5,1,5,3,1
233,1,5,2,1,5
234,1,3,3,1,4
235,1,2,2,4,4
236,2,2,3,2,4
237,5,5,2,2,4
238,4,5,5,4,1
239,2,3,4,5,1
240,2,1,3,1,2
241,3,1,2,2,4
242,2,4,3,5,4
243,2,2,5,2,3
244,3,4,5,4,3
245,3,3,4,4,4
246,4,5,3,2,3
247,5,1,5,4,1
248,4,5,1,3,5
249,2,5,2,4,2
250,1,4,1,4,2
251,3,4,2,3,3
252,2,1,2,1,1
253,2,1,3,4,1
254,2,1,1,4,4
255,5,1,2,5,1
256,3,5,5,1,2
257,4,1,5,3,5
258,2,5,3,1,1
259,1,1,4,2,3
260,3,4,1,3,2
261,3,2,1,3,4
262,5,1,3,4,2
263,5,1,3,5,1
264,1,5,4,4,5
265,3,2,4,1,5
266,5,1,4,3,4
267,3,2,4,2,1
268,4,3,4,4,1
269,1,4,3,1,1
270,5,2,2,1,2
271,2,5,1,1,4
272,2,3,3,5,1
273,2,2,2,4,2
274,2,5,4,4,4
275,2,5,5,2,1
276,1,5,4,1,5
277,1,3,5,1,2
278,1,2,3,5,1
279,2,4,1,1,5
280,4,5,2,5,4
281,1,1,1,2,3
282,1,4,4,5,1
283,4,5,1,1,3
284,4,5,1,2,5
285,5,2,5,2,1
286,1,5,5,4,3
287,5,3,5,3,1
288,2,5,1,1,3
289,3,5,3,1,4
290,3,2,2,1,3
291,1,5,3,1,2
292,2,4,5,3,2
293,4,2,2,5,3
294,4,2,3,1,5
295,1,5,2,4,3
296,4,4,2,1,1
297,5,2,3,5,3
298,4,2,1,2,3
299,5,3,2,3,4
300,4,4,1,4,5
301,1,1,5,3,1
302,4,5,4,3,5
303,5,5,5,3,2
304,4,2,1,3,1
305,1,3,3,2,3
306,2,2,4,3,2
307,4,3,1,5,3
308,4,5,1,2,4
309,5,1,1,1,3
310,1,4,4,2,5
311,5,2,3,5,4
312,3,4,2,4,4
313,5,2,4,1,2
314,1,1,1,3,1
315,5,2,2,3,1
316,4,2,5,2,1
317,5,4,4,4,4
318,1,2,4,4,3
319,3,2,5,5,4
320,5,1,2,2,5
321,2,4,1,3,2
322,2,5,5,5,2
323,4,4,4,2,4
324,3,1,4,1,3
325,5,1,2,3,2
326,3,1,1,5,1
327,4,3,2,5,4
328,4,3,1,3,2
329,5,3,3,5,1
330,2,2,3,1,1
331,1,1,3,2,4
332,5,5,5,2,1
333,3,2,1,3,1
334,4,1,4,5,2
335,5,5,2,1,5
336,2,5,2,2,4
337,1,2,4,1,4
338,2,3,3,3,5
339,2,5,3,3,2
340,4,4,2,5,1
341,5,2,2,3,1
342,1,2,5,2,3
343,5,2,1,4,2
344,1,3,5,2,3
345,5,3,5,2,5
346,2,4,2,1,1
347,3,1,5,1,5
348,3,5,4,5,5
349,4,5,3,1,3
350,3,4,2,3,2
351,2,4,3,2,4
352,5,1,2,2,4
353,2,4,1,1,1
354,2,1,1,3,1
355,4,2,4,1,2
356,1,5,3,4,4
357,4,5,3,1,3
358,2,5,4,1,5
359,4,1,3,4,2
360,4,4,3,5,3
361,1,4,4,1,3
362,1,4,1,5,4
363,1,5,1,2,1
364,1,1,5,2,1
365,3,3,2,2,4
366,2,1,5,1,3
367,3,5,2,4,3
368,4,4,3,5,3
369,4,2,2,3,2
370,3,1,4,5,4
371,1,3,2,2,1
372,5,1,2,4,1
373,4,1,5,2,3
374,4,3,5,5,1
375,2,5,5,4,2
376,2,2,2,2,1
377,3,5,3,1,3
378,3,5,3,2,4
379,2,2,4,4,3
380,1,5,2,3,2
381,1,3,3,2,5
382,1,4,2,2,4
383,4,2,3,3,5
384,2,2,1,3,1
385,2,3,1,2,3
386,4,3,1,4,5
387,1,5,1,3,4
388,2,4,1,4,5
389,2,3,4,4,1
390,5,4,4,3,2
391,2,5,3,2,4
392,3,3,1,2,3
393,2,1,2,5,5
394,3,4,1,1,4
395,4,3,4,2,2
396,1,1,3,2,2
397,3,1,4,4,3
398,1,2,3,1,3
399,5,5,1,2,3
400,2,1,5,3,1
401,5,4,4,5,2
402,2,4,5,5,3
403,4,2,1,4,1
404,4,4,1,2,3
405,1,3,2,1,1
406,1,5,3,2,3
407,5,4,3,4,2
408,4,5,1,4,1
409,3,2,5,2,4
410,4,5,4,3,2
411,4,4,1,3,1
412,1,3,1,1,1
413,3,2,4,5,1
414,5,5,2,1,5
415,3,4,5,2,4
416,4,3,4,1,4
417,2,3,3,4,4
418,2,1,3,1,2
419,2,3,3,2,1
420,5,5,2,1,2
421,5,2,3,2,3
422,5,4,5,2,4
423,4,2,1,4,4
424,3,5,3,4,4
425,5,1,3,2,5
426,1,3,5,3,5
427,4,1,4,5,5
428,1,4,5,1,1
429,4,5,3,4,5
430,5,1,4,2,5
431,2,4,4,4,1
432,2,1,1,4,5
433,2,2,5,5,2
434,2,5,5,4,5
435,1,2,5,2,5
436,3,4,2,4,3
437,2,4,3,3,4
438,4,1,2,5,3
439,4,2,5,5,3
440,3,2,5,2,3
441,1,4,3,2,4
442,2,3,4,2,3
443,1,1,1,2,2
444,2,3,1,3,3
445,1,4,4,3,5
446,3,5,4,3,5
447,2,1,2,1,1
448,5,4,1,1,4
449,3,1,3,1,4
450,5,2,3,5,2
451,1,5,1,5,5
452,3,4,4,1,5
453,5,3,4,5,4
454,2,5,2,3,5
455,2,5,5,2,5
456,5,4,5,4,3
457,3,5,2,4,2
458,3,4,1,5,2
459,5,2,4,2,5
460,4,1,1,4,5
461,5,4,5,3,4
462,5,5,2,1,2
463,2,2,5,5,5
464,2,4,4,2,4
465,5,1,1,4,2
466,3,1,5,1,2
467,1,4,1,5,5
468,5,1,5,5,3
469,4,3,4,2,1
470,1,2,1,2,4
471,2,1,2,5,1
472,4,4,4,2,4
473,2,4,2,4,3
474,2,3,2,3,1
475,3,5,1,5,4
476,5,3,1,5,5
477,1,1,4,2,5
478,2,1,4,5,4
479,1,1,1,4,4
480,4,3,5,5,3
481,4,3,5,5,5
482,5,4,4,3,5
483,4,2,3,2,4
484,1,5,2,1,1
485,5,1,2,4,5
486,1,3,1,3,4
487,2,2,5,5,2
488,3,1,1,5,2
489,1,4,4,2,5
490,3,1,3,4,2
491,5,5,1,2,4
492,5,1,2,5,4
493,4,3,1,3,2
494,2,5,5,3,2
495,1,1,4,1,3
496,5,5,5,5,5
497,2,3,4,2,3
498,5,4,4,3,4
499,2,3,2,3,1
500,1,2,4,2,3
501,4,4,4,2,1
502,4,5,3,5,2
503,5,1,5,1,4
504,3,3,1,2,5
505,1,1,3,2,4
506,1,1,1,2,5
507,1,2,4,1,3
508,3,4,4,1,3
509,1,3,1,4,1
510,1,5,1,4,5
511,1,4,3,5,2
512,5,2,5,2,3
513,4,2,5,4,3
514,3,5,5,3,5
515,2,5,3,3,5
516,4,4,5,3,5
517,1,2,5,5,2
518,4,5,3,5,2
519,1,2,4,5,4
520,1,4,2,1,3
521,4,4,1,3,4
522,5,4,2,2,4
523,1,5,5,1,1
524,3,1,2,1,2
525,4,1,1,4,3
526,2,1,1,2,2
527,2,2,5,1,4
528,1,2,1,5,4
529,2,3,4,2,5
530,5,3,3,2,4
531,4,3,4,4,3
532,1,1,5,3,4
533,3,5,4,4,1
534,5,3,4,3,5
535,4,2,3,4,4
536,3,3,5,2,3
537,1,5,2,2,4
538,3,2,2,1,2
539,3,4,3,2,1
540,5,5,1,3,5
541,1,4,4,3,4
542,1,5,5,4,1
543,5,2,5,4,2
544,3,1,5,3,2
545,3,4,2,1,2
546,4,2,5,2,2
547,2,4,4,4,1
548,3,3,3,5,2
549,4,4,4,4,3
550,4,2,5,2,4
551,3,2,1,2,5
552,5,3,1,2,3
553,3,5,3,2,2
554,2,2,1,4,2
555,5,5,2,3,1
556,1,2,2,1,1
557,5,2,3,1,3
558,1,1,2,4,2
559,2,1,4,4,2
560,5,3,3,2,3
561,2,1,1,5,3
562,2,1,5,4,3
563,5,1,1,4,5
564,4,1,5,1,3
565,2,1,4,5,4
566,1,4,1,4,2
567,1,5,3,5,1
568,5,4,1,3,2
569,2,2,1,3,3
570,3,1,2,4,1
571,1,2,3,1,5
572,2,3,1,3,1
573,1,5,1,3,4
574,2,4,5,4,5
575,5,5,3,4,1
576,2,4,2,3,1
577,3,3,4,4,4
578,2,4,1,2,5
579,3,4,1,3,4
580,3,2,5,5,1
581,5,2,2,1,4
582,2,1,2,4,3
583,4,1,3,2,5
584,1,1,1,5,2
585,5,1,1,5,3
586,3,4,4,5,4
587,2,1,5,1,3
588,5,2,2,2,2
589,5,2,1,3,3
590,3,2,2,5,1
591,5,5,1,1,1
592,4,4,2,1,2
593,2,2,1,3,4
594,1,1,4,4,3
595,3,3,4,2,1
596,3,1,4,2,4
597,5,5,3,5,3
598,3,3,2,5,5
599,1,4,1,5,4
600,3,1,3,5,2
601,5,2,5,4,5
602,1,4,3,5,5
603,1,1,1,4,3
604,3,1,5,5,3
605,3,2,3,4,3
606,3,2,2,1,3
607,5,2,5,3,1
608,3,2,2,2,1
609,1,4,2,2,3
610,2,3,2,1,2
611,3,2,3,2,3
612,4,2,4,3,1
613,2,1,3,5,4
614,4,5,2,2,4
615,1,3,1,1,5
616,4,5,3,3,5
617,3,3,2,5,1
618,5,4,3,1,1
619,3,4,2,5,5
620,1,5,4,1,4
621,4,2,5,4,5
622,3,5,2,2,3
623,3,2,4,3,4
624,5,2,5,1,1
625,1,1,3,3,5
626,3,5,5,2,4
627,4,1,1,2,1
628,1,4,2,3,4
629,2,3,2,3,1
630,4,1,2,3,4
631,1,2,1,2,2
632,2,3,4,5,4
633,2,5,2,2,1
634,1,1,3,5,2
635,3,2,4,4,2
636,4,5,1,5,1
637,4,4,4,4,4
638,5,4,1,1,5
639,1,2,1,5,2
640,4,5,2,1,4
641,2,3,1,4,2
642,1,5,4,1,3
643,2,4,1,1,5
644,5,5,2,2,2
645,4,2,1,4,2
646,4,3,3,3,3
647,3,1,3,1,2
648,4,3,3,5,1
649,3,5,1,2,1
650,2,2,2,2,1
651,5,1,4,4,2
652,3,3,4,5,4
653,1,4,2,4,2
654,1,2,3,1,4
655,5,4,5,4,4
656,2,3,5,5,5
657,2,5,5,4,3
658,4,3,3,5,1
659,4,5,5,5,3
660,3,3,5,3,2
661,5,3,5,3,1
662,1,1,5,5,4
663,2,3,1,1,3
664,1,3,3,2,3
665,3,5,2,5,3
666,5,3,1,5,4
667,3,5,4,4,2
668,1,1,1,4,2
669,4,2,5,1,1
670,3,2,3,3,4
671,3,4,4,5,1
672,1,2,4,4,2
673,2,1,4,2,1
674,3,3,2,3,1
675,4,3,4,1,1
676,4,1,2,5,1
677,5,5,1,3,4
678,2,1,4,2,2
679,4,5,3,4,1
680,4,4,1,2,1
681,4,5,4,4,5
682,2,2,3,3,4
683,1,4,2,5,5
684,3,2,5,3,2
685,4,5,3,4,4
686,1,3,4,2,5
687,5,2,2,4,3
688,1,1,5,2,5
689,2,1,1,2,1
690,3,2,5,2,3
691,5,5,2,4,4
692,2,4,4,5,5
693,2,5,2,2,1
694,2,2,1,1,4
695,1,4,3,3,1
696,2,1,5,5,1
697,1,4,1,4,5
698,1,1,4,3,2
699,3,3,1,2,3
700,4,4,5,4,1
701,1,4,1,1,2
702,3,3,2,5,1
703,1,5,5,2,3
704,5,5,2,2,2
705,5,5,4,4,4
706,1,4,4,5,3
707,3,5,3,1,2
708,2,5,5,3,3
709,3,2,3,1,1
710,4,3,2,5,3
711,5,1,5,2,4
712,1,2,3,3,3
713,3,1,5,5,5
714,1,3,4,1,5
715,5,1,4,5,2
716,5,4,3,3,1
717,3,1,5,2,4
718,5,5,3,2,4
719,1,5,1,5,2
720,2,4,3,2,5
721,2,4,5,3,1
722,5,3,1,3,4
723,3,5,4,2,4
724,3,2,5,2,2
725,5,4,2,4,1
726,5,5,1,1,1
727,1,3,3,2,2
728,4,1,5,4,2
729,1,3,5,5,2
730,2,2,3,4,4
731,5,1,5,5,1
732,2,1,3,2,2
733,4,5,3,2,4
734,3,1,5,3,5
735,1,4,5,5,5
736,2,1,3,3,1
737,3,2,1,4,3
738,1,4,2,3,5
739,3,1,1,1,2
