,smiles,ESOL,rd_8,rd_32,rd_64,rd_128,rd_512,rd_1024,rd_2048,rd_4096,rd_8192,rd_16384
0,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,1.0911257915207606,1,3,3,1,2,3,1,3,4,3
1,Cc1occc1C(=O)Nc2ccccc2,-0.10652169805056463,3,1,5,2,4,2,4,2,3,4
2,CC(C)=CCCC(C)=CC(=O),0.4804675853756975,5,3,3,5,3,4,1,4,3,3
3,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,-2.2698612345489666,3,2,2,1,1,4,3,3,2,3
4,c1ccsc1,0.8260338570701906,1,2,4,1,5,4,1,3,5,5
5,c2ccc1scnc1c2 ,0.7455595198262676,3,3,2,3,1,2,2,4,5,1
6,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,-2.0095030846421573,5,5,2,2,1,3,5,4,1,2
7,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,-0.925466424121076,5,1,1,2,5,5,4,4,4,2
8,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-1.5219232766348585,3,1,4,3,4,4,4,4,4,5
9,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,-0.6367055669517048,1,5,3,2,4,5,5,2,1,5
10,O=C1CCCN1,1.9621421475726335,5,4,5,5,3,1,1,5,3,1
11,Clc1ccc2ccccc2c1,-0.5041595997264197,4,1,4,3,4,2,1,5,5,5
12,CCCC=C,0.18697294366256634,1,3,4,4,1,4,2,1,5,5
13,CCC1(C(=O)NCNC1=O)c2ccccc2,0.2059080818376071,3,1,1,4,4,5,1,2,1,2
14,CCCCCCCCCCCCCC,-2.312465295442808,1,4,4,2,3,4,4,4,5,5
15,CC(C)Cl,0.7881635807201093,3,3,4,4,1,1,3,2,2,2
16,CCC(C)CO,1.2331393278335658,1,2,1,5,1,2,3,1,5,1
17,N#Cc1ccccc1,0.9822487470142766,4,2,2,2,2,4,5,3,5,2
18,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-0.2674703725384109,2,3,5,3,2,1,4,3,3,3
19,CCCCCCCCCC(C)O,0.06389454552480177,5,1,4,5,2,2,2,3,2,5
20,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,-2.0615747146235193,1,4,1,5,1,3,1,2,5,4
