,smiles,Lipop,rd_8,rd_32,rd_64,rd_128,rd_512,rd_1024,rd_2048,rd_4096,rd_8192,rd_16384
0,Cn1c(CN2CCN(CC2)c3ccc(Cl)cc3)nc4ccccc14,1.135154106845943,3,5,4,3,4,1,3,3,5,5
1,COc1cc(OC)c(cc1NC(=O)CSCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23,-2.7861430450300904,5,4,1,3,1,1,5,1,3,1
2,COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl,1.2597716010792914,5,3,2,5,5,4,3,2,5,2
3,OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,0.9939209467148148,5,4,1,1,1,2,5,3,1,4
4,Cc1cccc(C[C@H](NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1,0.7696094570947873,4,4,3,4,2,4,3,5,4,5
5,OC1(CN2CCC1CC2)C#Cc3ccc(cc3)c4ccccc4,0.802840788890347,5,3,4,3,2,1,1,5,2,1
6,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)NCc2ccccc2N3CCCCC3,-2.403982729381154,2,2,4,4,2,3,4,4,2,3
7,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1,-1.5233524367988254,2,1,3,2,5,5,3,5,1,1
8,COc1ccc(cc1)C2=COc3cc(OC)cc(OC)c3C2=O,0.7280702923503376,4,3,5,2,1,5,3,5,1,3
9,Oc1ncnc2scc(c3ccsc3)c12,0.06344365643914568,4,5,1,5,5,4,4,2,3,4
10,CS(=O)(=O)c1ccc(Oc2ccc(cc2)C#C[C@]3(O)CN4CCC3CC4)cc1,-0.551335981778707,2,5,4,2,3,2,2,2,5,2
11,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,0.36252564259918196,4,2,4,5,4,5,4,4,5,3
12,O=C1CCCCCN1,-1.8722814206522012,3,5,2,2,2,5,4,4,3,3
13,CCCSc1ncccc1C(=O)N2CCCC2c3ccncc3,-0.1857913320275514,5,1,2,5,2,2,4,2,2,4
14,CC1CCCCC1NC(=O)c2cnn(c2NS(=O)(=O)c3ccc(C)cc3)c4ccccc4,-0.6925691419098353,3,4,3,3,5,4,2,4,4,5
15,Nc1ccc(cc1)c2nc3ccc(O)cc3s2,0.8526877865836865,1,2,5,1,1,2,1,2,2,2
16,COc1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N,-0.4765654852386978,4,3,2,5,4,4,1,1,5,3
17,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c2ccccc2,1.3262342646704106,5,4,1,1,4,2,5,1,2,2
18,COc1cc(ccc1N2CC[C@@H](O)C2)N3N=Nc4cc(sc4C3=O)c5ccc(Cl)cc5,0.8111486218392367,3,1,3,5,3,2,3,3,4,3
19,CO[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@H]1NCc4ccc5OCC(=O)Nc5n4,-1.5399681026966052,1,2,1,5,2,1,2,4,4,4
20,CC(C)(CCCCCOCCc1ccccc1)NCCc2ccc(O)c3nc(O)sc23,0.620068464014769,4,2,3,5,4,5,3,3,5,5
21,Clc1ccc(cc1)C(=O)Nc2oc(nn2)C(=O)Nc3ccc(cc3)N4CCOCC4,-0.21071483087422116,5,5,1,1,1,2,3,2,3,3
22,COc1ccc(Oc2cccc(CN3CCCC(C3)N4C=C(C)C(=O)NC4=O)c2)cc1,0.8277642877370165,2,5,5,1,4,2,1,3,3,2
23,OC(=O)c1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,-0.0030190071519736058,3,2,5,2,4,2,5,1,5,4
24,CNCC[C@@H](Oc1ccccc1C)c2ccccc2,-0.8088788031942941,5,5,1,2,2,1,3,3,1,4
25,Clc1ccc(N2CCN(CC2)C(=O)CCCc3ccncc3)c(Cl)c1,1.4591595918526492,5,3,4,2,4,1,5,3,1,5
26,COc1cnc(nc1N(C)C)c2ccccn2,-0.22733049677200096,3,2,2,2,4,1,1,1,3,2
27,C(CCCCNc1cc(nc2ccccc12)c3ccccc3)CCCNc4cc(nc5ccccc45)c6ccccc6,0.08005932233692548,5,4,3,2,4,2,3,2,1,3
28,CSc1c(cnn1c2ccc(cc2)C(=O)O)C(=O)NC3C4CC5CC(CC3C5)C4,-0.8088788031942941,5,1,3,3,3,5,4,2,2,3
29,CNC1=Nc2ncccc2C(=NC1c3cccs3)c4occn4,-0.8587258008876335,1,5,1,5,3,4,1,4,4,5
30,CS(=O)(=O)C1(CC1)c2cc(nc(n2)c3cccc4[nH]ccc34)N5CC6CCC(C5)O6,0.3542178096502923,1,2,2,2,3,3,4,2,3,5
31,CN([C@@H]1CCN(Cc2ccc(cc2)C(F)(F)F)C[C@@H]1F)C(=O)Cc3ccc(cc3)n4cnnn4,0.9357661160725852,5,5,5,1,1,5,1,4,5,5
32,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1.4674674248015391,2,4,2,4,1,1,3,3,1,4
33,CS(=O)(=O)c1ccccc1C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3,0.13821415297915465,4,3,4,5,5,4,1,1,2,2
34,O=C(NCc1ccncc1)c2ccc(Oc3ccccc3C#N)cc2,0.3292943108036224,3,2,5,5,5,4,3,2,3,2
35,CN(C)c1ccnc2sc(C(=O)NCc3ccccc3)c(N)c12,1.2016167704370622,4,5,2,5,4,2,2,5,1,5
36,CN1CCN(CC1)c2ccc3N=CN(C(=O)c3c2)c4cc(NC(=O)c5cscn5)ccc4C,-0.09440516958976243,4,4,2,5,5,5,5,2,4,1
37,Cn1cncc1c2c3C(=O)N(CC4CC4)C(=O)N(CC5CC5)c3nn2Cc6ccnc7ccc(Cl)cc67,1.7914729098082451,2,2,1,3,4,5,5,4,2,5
38,COc1ccc2ncc(C#N)c(CCN3CCC(CC3)NCc4cc5SCOc5cn4)c2c1,0.3126786449058426,3,4,4,1,3,4,4,4,1,5
39,CNC(=O)C1(CCN(CC[C@H](CN(C)C(=O)c2c(OC)c(cc3ccccc23)C#N)c4ccc(Cl)c(Cl)c4)CC1)N5CCCCC5=O,0.5037588027303103,3,2,5,1,3,3,5,2,1,4
40,OB1N(C(=O)Nc2ccccc12)c3ccccc3,-0.642722144216496,3,3,3,5,1,2,1,3,4,2
41,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,-2.2544417363011364,3,4,2,2,4,4,2,5,4,4
42,NC(=NC#N)c1sc(Nc2ccccc2)nc1N,0.6117606310658793,5,2,4,3,2,3,5,5,1,5
43,CCS(=O)(=O)c1ccc(c(C)c1)c2cc(ccc2O[C@H](C)C(=O)O)C(F)(F)F,-2.1381320750166783,4,2,3,5,1,3,1,1,1,5
44,OC(=O)COc1ccc(cc1c2cc(ccc2F)C#N)C(F)(F)F,-1.9387440842433208,5,2,4,2,2,1,2,3,5,1
45,COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCCO)C2=O,0.021904491694696302,2,4,1,3,4,1,2,3,5,1
46,CC(Nc1ncnc2ccccc12)c3ccccc3,1.0188444455614842,5,2,3,2,5,5,3,2,2,3
47,CC(C)c1ccc2Oc3nc(N)c(cc3C(=O)c2c1)C(=O)O,-0.8919571326831929,3,2,1,5,4,1,2,5,2,3
48,O[C@@H](CNCCCOCCOCCc1cccc2ccccc12)c3ccc(O)c4NC(=O)Sc34,0.08836715528581521,1,4,4,5,5,4,1,5,3,5
49,COc1ccccc1Cn2c(C)nc3ccccc23,1.0769992762037135,3,3,1,2,4,2,3,2,1,3
50,OC(=O)c1ccc(NC(=O)c2cc(OCc3ccccc3F)cc(OCc4ccccc4F)c2)nc1,0.6865311276058883,2,1,3,4,2,4,5,5,3,5
51,NC(Cc1c[nH]c2ccccc12)C(=O)O,-2.7778352120812007,1,2,1,3,4,4,2,2,5,3
52,OC(=O)CCC[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4cc(F)ccc4[nH]3,-0.1857913320275514,5,3,4,5,4,2,4,1,3,3
53,CCNC(=O)c1cc2c(c(cnc2[nH]1)c3cncc(c3)C(=O)O)n4ccc(n4)C(F)(F)F,-2.6282942190011824,4,5,3,2,3,2,4,4,2,4
54,C[C@H](NC(=O)c1c(C)nn(C2CCCC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,-0.14425216728310186,2,5,5,3,2,1,5,5,3,3
55,N(c1ccccc1)c2cc(Nc3ccccc3)[nH]n2,1.3511577635170802,1,5,4,4,1,1,4,1,1,1
56,COCCNC(=O)c1cccc(Nc2ncc3cc(ccc3n2)c4ccncc4)c1,0.8609956195325762,1,1,1,2,4,5,1,2,4,4
57,CCC(CC)NC(=O)c1cnn(C)c1NS(=O)(=O)c2ccc(C)cc2,-1.5067367709010455,3,5,3,5,2,3,4,3,5,3
58,NC(=O)c1cc(F)cc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)c1,-0.027942505998643147,2,2,4,4,5,1,2,2,3,3
59,O=C1NC(=NC(=C1C#N)c2ccccc2)SCCc3ccccc3,-0.38517932280090905,5,3,3,5,1,4,1,3,2,1
60,OC(C(=O)OC1CN2CCC1CC2)(c3ccccc3)c4ccccc4,-0.8171866361431842,3,3,2,4,3,3,4,2,1,3
61,Cc1ccccc1NC(=O)CCS(=O)(=O)c2ccc(Br)s2,0.43729613913919135,3,5,2,1,2,5,4,4,5,1
62,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)N(C)C)ncc2F,0.4954509697814206,3,1,5,3,1,1,1,5,3,2
63,COc1cccc(c1)c2c[nH]c(n2)c3ccccc3,1.3511577635170802,1,3,4,4,1,4,3,2,4,5
64,O=C(COc1ccccc1)c2ccccc2,0.5785292992703196,1,5,5,1,4,2,2,1,3,1
65,COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1NCCN(C)C,-0.21902266382311106,2,4,5,2,3,5,3,1,4,1
66,CO[C@@H]1CC[C@@]2(CC1)Cc3ccc(OCC(C)C)cc3C24N=C(C)C(=N4)N,1.0188444455614842,4,4,5,1,4,3,1,4,3,4
67,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCCC4,0.7945329559414569,1,3,3,2,5,4,2,5,2,1
68,O=C1CCOc2cc(COc3ccccc3)ccc12,0.6865311276058883,5,4,4,5,3,5,4,1,1,5
69,Clc1cccc2cn[nH]c12,0.12990632003026495,4,1,2,1,2,2,2,4,4,4
70,CNC(=O)c1ccc(CC(=O)N(C)C2CCN(Cc3ccc(cc3)C(F)(F)F)CC2)cc1,0.5203744686280901,1,1,2,4,1,1,3,5,1,4
71,COCCNCc1ccc(CCNC[C@H](O)c2ccc(O)c3NC(=O)Sc23)cc1,-2.2544417363011364,3,5,4,4,3,2,2,4,3,3
72,Cn1cncc1c2c3C(=O)N(CC#C)C(=O)N(CC4CC4)c3nn2Cc5ccnc6ccc(Cl)cc56,0.8194564547881268,5,1,2,5,3,3,2,3,2,1
73,C[C@H](NC(=O)c1cccnc1Oc2ccccc2)c3ccccc3,0.6117606310658793,2,4,4,2,3,2,4,5,3,3
74,Clc1ccc(CN2CC3CNCC(C2)O3)cc1C(=O)NCC45CC6CC(CC(C6)C4)C5,-0.5181046499831474,1,1,2,5,2,1,4,2,3,4
75,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,-1.639662098083284,2,3,1,2,3,2,4,2,5,5
76,Cc1cc(CCC2CCN(CC2)S(=O)(=O)CC3(CCOCC3)N(O)C=O)c(C)cn1,-0.6177986453698263,4,4,4,2,3,3,3,1,2,2
77,C[C@H](Nc1ncc(F)c(Nc2cc([nH]n2)C3CC3)n1)c4ncc(F)cn4,0.2462159813147237,3,1,3,4,1,1,2,3,2,1
78,CC(=O)Nc1ccc2c(c1)c(cn2CCCO)c3cc(NC4CC4)n5ncc(C#N)c5n3,0.25452381426361337,3,2,1,5,4,2,3,3,1,3
79,CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O,-2.179671239761128,4,2,3,2,1,2,5,5,3,1
