,rd_2,rd_32,rd_128,rd_512,rd_1024
0,1,3,1,2,3
1,2,1,2,4,2
2,3,3,5,3,4
3,3,2,1,1,4
4,2,2,1,5,4
5,4,3,3,1,2
6,4,5,2,1,3
7,1,1,2,5,5
8,5,1,3,4,4
9,5,5,2,4,5
10,2,4,5,3,1
11,4,1,3,4,2
12,3,3,4,1,4
13,2,1,4,4,5
14,4,4,2,3,4
15,1,3,4,1,1
16,3,2,5,1,2
17,4,2,2,2,4
18,1,3,3,2,1
19,5,1,5,2,2
20,1,4,5,1,3
21,5,4,1,3,3
22,2,3,5,1,2
23,3,4,2,1,3
24,3,5,1,1,4
25,4,4,1,5,5
26,3,5,4,4,1
27,4,1,2,3,4
28,3,3,2,2,4
29,3,4,4,4,3
30,2,1,4,2,1
31,5,4,2,5,5
32,3,1,5,1,5
33,4,2,5,5,1
34,5,4,3,3,1
35,3,5,3,1,1
36,5,2,4,5,4
37,1,3,3,3,5
38,3,1,1,1,2
39,4,1,5,5,2
40,3,1,5,1,2
41,3,2,3,5,5
42,3,4,5,3,4
43,5,2,4,3,2
44,5,3,5,4,2
45,5,2,1,5,2
46,2,3,3,4,3
47,1,2,3,1,3
48,3,3,5,3,5
49,5,1,1,5,1
50,3,1,3,3,4
51,5,1,5,3,1
52,3,2,4,1,5
53,3,5,5,2,1
54,4,3,1,1,1
55,3,3,2,1,2
56,2,2,1,1,5
57,4,3,5,1,3
58,1,3,1,4,5
59,4,1,4,4,4
60,1,2,2,3,1
61,1,5,5,4,5
62,2,5,3,5,2
63,5,2,5,1,3
64,5,5,2,1,2
65,1,1,5,4,4
66,1,3,5,2,1
67,1,1,1,3,5
68,1,1,3,1,3
69,4,1,3,1,5
70,1,2,3,3,2
71,1,4,2,1,1
72,3,2,5,4,1
73,4,2,4,5,5
74,2,1,5,1,5
75,2,4,5,1,3
76,3,5,3,5,1
77,2,5,1,4,4
78,4,5,4,5,2
79,5,2,3,3,5
80,2,3,4,3,3
81,5,1,3,2,2
82,5,2,1,1,5
83,2,3,1,4,5
84,2,1,4,4,4
85,4,1,3,4,4
86,5,1,5,2,3
87,5,5,3,2,4
88,5,5,1,5,5
89,2,1,3,5,2
90,3,2,3,3,5
91,1,1,1,5,1
92,4,2,5,3,4
93,4,5,1,1,2
94,3,1,4,1,3
95,5,4,3,2,3
96,5,2,3,5,2
97,5,1,2,1,2
98,4,5,3,4,4
99,1,2,1,1,2
100,4,5,2,3,1
101,2,3,5,5,2
102,2,3,1,4,1
103,3,3,3,3,5
104,4,4,4,1,5
105,5,2,2,1,3
106,4,3,4,4,2
107,2,4,5,4,4
108,3,4,5,2,5
109,2,2,1,4,3
110,3,3,5,2,3
111,3,3,5,1,2
112,3,3,5,4,4
113,3,3,5,5,3
114,4,1,2,5,3
115,5,4,4,3,1
116,2,5,1,1,4
117,3,3,3,2,5
118,4,2,4,5,5
119,2,4,3,2,5
120,2,5,5,1,5
121,5,3,4,4,5
122,5,1,2,2,2
123,3,2,2,1,4
124,5,3,3,5,2
125,5,5,5,3,4
126,3,5,4,1,3
127,4,2,4,3,1
128,1,3,3,1,5
129,3,5,4,5,4
130,3,3,3,4,4
131,3,1,5,5,1
132,5,3,1,3,3
133,5,1,2,5,2
134,2,4,1,4,1
135,5,2,2,1,2
136,3,2,4,3,3
137,1,3,4,2,5
138,3,4,3,3,5
139,3,1,3,5,5
140,5,4,2,2,3
141,1,1,5,3,5
142,2,4,1,3,4
143,1,2,3,4,2
144,4,2,3,5,1
145,4,2,3,5,3
146,1,2,5,1,2
147,4,1,5,4,4
148,1,4,1,3,2
149,5,1,4,3,5
150,3,5,1,3,1
151,4,1,1,2,5
152,2,5,3,4,4
153,5,3,4,1,1
154,3,3,2,3,1
155,1,5,3,1,1
156,2,4,4,3,3
157,2,1,5,3,2
158,1,5,1,2,5
159,3,5,2,1,1
160,2,4,2,4,2
161,3,3,3,4,2
162,4,3,4,5,3
163,3,4,4,2,4
164,1,4,2,3,3
165,3,5,4,3,5
166,4,1,4,1,4
167,3,5,4,3,4
168,4,5,2,1,2
169,1,1,5,4,3
170,4,4,3,4,2
171,1,3,4,5,3
172,2,1,4,3,2
173,4,1,4,1,1
174,2,1,2,2,1
175,2,5,1,5,1
176,3,5,5,5,4
177,2,4,5,5,1
178,3,1,2,2,2
179,2,5,5,3,4
180,2,4,2,3,3
181,3,5,2,2,2
182,1,1,5,1,5
183,1,3,3,5,3
184,5,4,1,3,4
185,2,5,3,2,4
186,4,3,5,3,3
187,5,5,3,3,4
188,2,2,5,5,4
189,4,5,2,2,3
190,4,1,4,3,2
191,4,5,4,2,2
192,2,4,4,4,2
193,1,3,2,2,1
194,2,5,3,4,4
195,5,1,4,4,3
196,4,2,4,3,4
197,1,4,2,1,1
198,2,5,3,2,4
199,1,1,5,4,1
200,1,5,2,2,1
201,4,3,5,1,2
202,2,1,5,4,3
203,3,4,2,2,1
204,2,4,2,3,2
205,2,1,1,3,4
206,3,5,3,5,1
207,5,5,1,3,3
208,5,2,5,5,5
209,2,1,4,3,2
210,4,1,5,1,2
211,5,5,5,5,3
212,1,4,2,3,2
213,1,5,5,3,1
214,3,3,3,5,2
215,4,1,2,2,2
216,3,3,3,2,3
217,3,2,5,2,1
218,5,1,3,3,3
219,2,3,1,3,4
220,5,1,1,3,3
221,3,5,2,5,3
222,3,2,1,1,2
223,1,4,1,2,5
224,5,2,1,4,3
225,3,2,5,3,5
226,2,4,4,2,2
227,2,3,1,4,3
228,4,5,4,1,2
229,4,5,2,3,3
230,1,1,3,5,2
231,2,3,3,2,1
232,1,5,4,2,5
233,5,1,5,2,2
234,4,4,1,1,4
235,1,1,5,5,1
236,2,5,3,3,3
237,4,2,2,5,3
238,4,1,3,3,5
239,1,3,3,4,4
240,2,3,3,2,4
241,2,2,4,4,4
242,4,1,4,2,1
243,4,4,1,5,5
244,3,5,5,1,4
245,4,2,5,4,4
246,3,2,5,3,2
247,4,4,3,4,1
248,3,3,3,3,4
249,3,5,3,3,3
250,2,1,4,1,5
251,2,5,1,1,3
252,4,5,3,4,4
253,5,4,1,2,5
254,4,1,5,1,2
255,5,3,3,4,5
256,4,5,5,3,3
257,2,5,1,5,5
258,2,2,4,4,1
259,4,3,1,5,3
260,4,1,2,1,3
261,5,5,2,1,1
262,3,4,1,4,3
263,1,1,3,1,5
264,4,4,2,4,3
265,1,5,1,5,1
266,4,5,5,5,2
267,2,1,1,4,2
268,1,1,1,1,3
269,4,2,2,4,5
270,5,1,2,5,3
271,1,4,3,2,4
272,2,3,2,2,1
273,1,4,2,2,1
274,5,4,3,3,1
275,2,2,1,3,3
276,3,4,2,2,3
277,4,1,3,4,2
278,5,5,5,4,1
279,2,1,3,5,3
280,1,2,3,2,2
281,1,3,1,1,1
282,4,2,1,3,5
283,4,2,2,5,5
284,1,4,4,2,2
285,1,4,4,1,3
286,1,5,2,1,2
287,1,5,4,3,1
288,2,5,3,1,2
289,3,2,1,2,3
290,5,1,2,3,5
291,2,4,2,3,2
292,3,2,5,4,1
293,1,3,3,5,4
294,3,3,5,1,4
295,2,1,2,3,4
296,5,2,1,3,3
297,3,5,4,4,3
298,5,4,3,4,3
299,5,3,4,2,1
300,3,1,1,4,3
301,4,3,2,3,4
302,3,4,2,4,5
303,4,5,1,1,2
304,3,3,3,4,2
305,2,4,1,4,3
306,4,5,4,2,4
307,4,1,3,5,1
308,3,4,1,5,3
309,1,5,3,2,2
310,2,3,3,4,4
311,1,2,2,5,1
312,2,4,1,5,5
313,5,1,1,5,3
314,3,5,3,5,4
315,1,2,2,3,1
316,2,2,3,5,2
317,2,3,1,3,3
318,2,5,2,2,5
319,2,3,1,5,5
320,4,5,1,2,2
321,1,1,4,5,2
322,2,1,2,5,4
323,1,2,2,4,4
324,5,4,3,1,2
325,3,1,4,5,1
326,2,4,4,5,5
327,2,3,4,4,5
328,1,4,2,5,3
329,3,3,2,2,2
330,2,2,1,1,3
331,4,1,5,4,1
332,4,4,4,4,5
333,2,5,2,1,5
334,3,1,1,4,2
335,1,2,5,5,5
336,5,5,3,5,3
337,4,5,4,3,3
338,3,5,5,3,1
339,5,3,1,1,3
340,3,4,3,4,4
341,5,3,4,3,1
342,2,5,1,4,3
343,2,3,4,4,1
344,3,1,5,1,2
345,2,4,5,5,3
346,3,3,5,2,2
347,2,5,4,2,4
348,5,2,4,3,4
349,5,4,4,2,4
350,4,5,3,2,5
351,1,4,2,5,5
352,3,3,1,3,5
353,3,4,1,3,1
354,4,4,1,2,5
355,2,5,1,4,3
356,1,5,4,5,1
357,5,4,2,3,1
358,5,4,3,5,4
359,5,3,3,1,2
360,5,3,2,5,1
361,5,2,2,1,3
362,4,5,2,3,2
363,1,1,1,2,4
364,5,2,2,5,1
365,2,2,2,1,1
366,5,5,5,1,5
367,5,4,5,2,2
368,4,2,1,5,4
369,4,3,2,5,1
370,3,2,5,5,2
371,3,3,2,4,2
372,3,2,2,4,2
373,4,1,2,1,3
374,2,1,3,5,5
375,2,3,5,3,4
376,1,2,2,4,3
377,3,5,2,2,5
378,3,4,4,2,1
379,2,5,1,4,3
380,5,2,2,3,2
381,3,3,3,1,1
382,3,1,2,3,3
383,4,3,2,4,5
384,2,5,1,5,5
385,2,5,5,2,2
386,3,5,5,2,1
387,1,5,1,3,3
388,1,2,3,4,5
389,4,4,2,1,5
390,5,2,4,3,5
391,2,4,4,3,1
392,5,3,4,4,1
393,3,4,3,1,4
394,3,3,3,4,5
395,4,5,2,4,1
396,3,2,4,4,1
397,1,5,2,5,4
398,1,5,4,1,5
399,2,4,1,2,5
400,1,2,5,1,5
401,1,2,3,1,1
402,1,2,4,5,4
403,4,1,5,5,5
404,5,3,5,4,5
405,2,3,4,2,2
406,5,5,5,2,3
407,2,1,5,2,5
408,5,4,5,5,4
409,2,5,2,1,1
410,5,4,3,2,4
411,1,2,4,3,3
412,2,4,2,5,4
413,4,3,5,2,3
414,1,5,4,3,1
415,5,3,3,5,4
416,3,2,4,3,2
417,1,5,4,1,4
418,1,2,2,4,1
419,2,3,2,4,2
420,5,5,5,4,2
421,5,5,1,1,4
422,5,2,2,4,2
423,3,4,2,1,5
424,5,2,5,1,5
425,3,4,3,1,3
426,2,1,5,4,4
427,1,1,4,4,1
428,4,1,3,2,4
429,3,5,4,3,1
430,4,5,5,1,5
431,1,4,2,1,4
432,1,2,3,2,4
433,5,5,5,3,1
434,5,1,4,4,3
435,4,1,3,2,3
436,1,3,4,3,1
437,2,4,3,3,3
438,1,3,4,4,3
439,2,4,5,1,5
440,1,3,1,1,5
441,1,1,2,2,3
442,5,4,2,4,5
443,3,2,2,1,5
444,3,3,5,1,2
445,3,5,1,1,2
446,5,1,1,3,4
447,3,4,2,4,4
448,4,5,3,4,4
449,4,1,5,2,3
450,5,4,4,1,1
451,2,2,4,4,3
452,2,1,3,4,4
453,2,1,5,1,5
454,5,4,2,5,4
455,3,3,2,2,4
456,1,5,2,5,5
457,2,1,4,4,5
458,1,1,5,2,2
459,3,3,2,5,4
460,2,1,3,4,2
461,5,5,5,4,4
462,1,4,3,5,1
463,3,5,3,4,1
464,1,2,2,1,2
465,1,5,1,4,4
466,5,5,4,5,3
467,4,1,1,4,3
468,2,5,2,3,2
469,4,4,2,2,2
470,1,5,5,3,2
471,2,2,5,5,1
472,4,4,4,4,5
473,1,5,3,4,5
474,5,5,1,5,1
475,4,1,2,1,1
476,1,2,5,3,4
477,2,2,3,5,2
478,5,4,1,3,2
479,4,2,4,4,5
480,3,5,4,3,1
481,3,5,3,1,5
482,5,3,2,5,2
483,2,2,3,1,4
484,2,5,4,1,3
485,5,4,1,2,5
486,1,5,4,3,1
487,5,3,5,4,2
488,2,5,3,1,3
489,4,5,2,5,2
490,1,4,4,2,5
491,5,4,1,2,3
492,2,3,2,5,5
493,5,4,2,4,2
494,4,2,5,2,1
495,4,1,4,1,4
496,1,5,1,3,5
497,5,2,1,5,1
498,2,3,2,1,3
499,4,5,4,2,1
500,4,5,1,3,4
501,4,1,4,4,4
502,2,4,5,2,1
503,4,4,3,4,2
504,1,2,5,2,3
505,2,1,4,2,3
506,5,4,4,3,1
507,4,1,2,3,5
508,2,2,4,5,2
509,5,3,2,3,3
510,3,5,2,4,5
511,2,4,1,1,2
512,2,2,5,1,2
513,1,3,1,2,1
514,4,4,1,3,4
515,1,4,5,5,3
516,4,5,2,1,1
517,5,3,1,4,5
518,3,3,3,3,4
519,1,4,2,5,3
520,4,1,4,5,1
521,2,3,3,3,3
522,1,3,3,2,1
523,4,4,1,5,4
524,2,2,1,4,1
525,2,2,3,2,2
526,2,3,5,5,4
527,5,1,4,1,5
528,5,2,5,1,5
529,3,1,2,4,4
530,1,3,1,5,5
531,4,1,1,1,5
532,1,1,3,1,4
533,4,5,3,4,3
534,5,2,5,5,5
535,2,3,5,3,1
536,2,5,5,2,2
537,4,2,2,5,4
538,3,2,4,3,3
539,5,3,4,1,5
540,3,4,4,3,5
541,4,2,2,3,2
542,1,5,3,4,4
543,3,3,2,3,4
544,2,2,1,3,5
545,2,4,1,5,1
546,3,4,4,3,1
547,4,2,3,2,4
548,5,4,2,5,1
549,2,3,1,4,1
550,1,4,4,4,5
551,3,2,1,5,4
552,1,2,2,1,5
553,3,5,3,1,4
554,4,4,5,4,4
555,2,5,5,5,3
556,1,2,1,3,4
557,2,1,5,5,3
558,1,3,2,1,3
559,4,1,1,5,4
560,5,2,5,5,5
561,2,3,5,5,3
562,5,1,4,1,3
563,4,5,1,2,1
564,2,5,4,4,1
565,1,2,5,2,3
566,4,2,4,5,2
567,1,4,2,5,2
568,2,1,4,4,4
569,4,5,3,1,1
570,5,2,2,1,1
571,3,2,4,5,5
572,3,1,1,1,2
573,1,5,3,2,2
574,1,5,3,1,4
575,1,3,5,3,2
576,1,2,5,1,3
577,1,5,4,5,5
578,3,4,4,5,2
579,1,4,2,3,4
580,1,5,5,1,1
581,1,2,2,1,5
582,4,2,2,3,3
583,5,4,4,1,1
584,1,4,5,2,1
585,2,4,5,3,1
586,4,5,1,1,5
587,5,2,2,5,2
588,4,1,4,3,1
589,3,1,4,4,3
590,3,2,5,2,5
591,4,2,1,1,4
592,1,3,1,2,1
593,2,4,2,5,5
594,4,5,4,4,5
595,3,3,3,3,5
596,2,5,5,4,3
597,1,3,2,2,1
598,4,1,3,2,4
599,1,1,2,1,3
600,1,2,5,2,1
601,2,5,3,1,5
602,4,3,5,5,5
603,4,2,5,3,3
604,5,5,2,1,4
605,5,2,2,5,5
606,3,3,3,4,4
607,5,1,1,5,5
608,1,1,3,2,5
609,5,5,3,3,5
610,4,2,4,5,3
611,4,5,5,1,5
612,1,5,2,1,3
613,5,3,1,3,5
614,3,3,5,3,1
615,1,2,2,4,3
616,4,5,4,5,1
617,2,1,5,4,2
618,3,4,5,4,4
619,5,3,2,4,4
620,3,1,3,5,1
621,3,4,4,3,4
622,5,3,5,5,2
623,4,1,3,1,4
624,3,1,4,4,3
625,5,2,5,3,3
626,4,4,4,4,4
627,4,4,2,4,3
628,2,1,3,2,1
629,2,4,1,2,3
630,4,4,4,3,2
631,4,2,3,2,2
632,1,4,5,2,1
633,3,2,5,2,5
634,4,4,3,2,1
635,5,4,4,1,4
636,4,1,1,5,1
637,3,4,4,2,4
638,4,5,3,1,4
639,3,3,5,3,4
640,2,3,1,4,2
641,1,1,4,3,4
642,3,4,2,5,2
643,1,2,1,5,4
644,3,5,1,1,4
645,3,5,5,2,4
646,3,4,2,2,1
647,5,5,3,3,2
648,5,2,3,5,4
649,3,2,1,2,5
650,4,5,3,5,5
651,5,4,4,2,1
652,4,1,2,3,4
653,1,5,1,3,4
654,3,1,3,4,2
655,5,4,3,5,5
656,3,3,3,5,5
657,5,4,2,2,1
658,1,4,2,3,5
659,2,3,5,4,1
660,1,2,5,1,4
661,5,1,3,3,3
662,3,1,5,1,3
663,2,1,5,4,2
664,3,3,2,3,2
665,2,4,4,2,1
666,4,3,1,1,3
667,3,3,3,2,3
668,4,3,1,5,5
669,2,5,1,1,4
670,5,4,4,2,1
671,1,3,5,5,2
672,1,1,4,4,5
673,3,2,4,3,5
674,5,3,1,2,3
675,4,2,5,3,2
676,5,4,3,2,5
677,2,5,1,3,4
678,1,3,3,3,1
679,5,2,1,5,5
680,3,4,2,3,1
681,4,2,1,2,3
682,3,3,5,5,2
683,1,3,3,2,4
684,3,2,5,4,2
685,2,2,2,1,3
686,4,3,3,1,2
687,4,4,5,1,3
688,3,1,2,5,1
689,5,4,4,3,3
690,2,5,2,1,5
691,4,2,2,5,2
692,3,1,1,1,5
693,4,4,4,4,4
694,2,3,5,2,1
695,1,3,1,5,3
696,3,4,2,2,5
697,5,2,4,3,2
698,4,3,5,2,4
699,4,3,1,4,1
700,3,1,5,1,4
701,3,1,5,5,2
702,2,4,4,4,4
703,5,1,2,4,4
704,3,3,4,1,2
705,2,4,4,1,1
706,2,2,1,4,3
707,3,2,5,2,4
708,3,5,4,1,2
709,5,1,2,1,5
710,2,3,2,4,3
711,3,1,1,4,5
712,1,1,1,4,2
713,4,2,4,1,1
714,5,5,4,3,4
715,2,1,5,2,2
716,2,4,4,1,1
717,1,3,4,5,1
718,5,5,4,4,1
719,1,5,1,2,2
720,4,5,1,2,3
721,3,2,1,5,3
722,5,5,2,3,1
723,4,3,1,3,2
724,4,4,5,3,5
725,5,2,1,4,5
726,4,2,2,3,4
727,3,5,1,1,1
728,4,1,2,2,1
729,4,1,5,5,3
730,5,1,3,1,2
731,4,3,3,2,3
732,1,3,1,3,3
733,1,4,4,2,4
734,2,2,3,2,3
735,3,2,4,3,1
736,4,5,3,1,2
737,2,3,1,5,5
738,3,5,1,1,3
739,1,4,2,2,5
740,2,4,3,4,1
741,3,3,3,5,4
742,4,1,1,2,2
743,4,4,4,4,4
744,3,4,3,3,1
745,2,2,5,5,3
746,5,1,2,5,1
747,2,3,1,5,4
748,1,3,1,4,1
749,4,1,2,3,1
750,3,1,3,5,4
751,5,5,3,3,1
752,1,2,5,5,4
753,5,3,1,2,1
754,5,2,1,3,3
755,1,5,4,5,5
756,4,3,2,5,3
757,1,2,4,4,5
758,5,4,3,4,3
759,5,4,1,2,2
760,5,5,1,4,3
761,4,2,4,2,1
762,5,5,2,1,1
763,3,1,1,4,4
764,4,4,2,2,3
765,2,3,3,5,1
766,4,2,4,3,5
767,5,4,3,3,4
768,1,3,1,1,1
769,5,4,2,3,5
770,3,4,3,3,1
771,2,3,3,2,2
772,5,5,5,5,5
773,1,1,1,4,3
774,5,5,4,4,1
775,1,4,5,3,1
776,1,1,3,1,4
777,2,2,5,1,5
778,4,3,4,2,2
779,4,3,2,1,4
780,3,3,4,2,5
781,1,2,5,2,3
782,1,3,3,1,2
783,4,2,1,1,1
784,1,5,2,5,1
785,5,3,1,1,5
786,3,1,2,1,2
787,4,2,2,2,4
788,3,4,5,3,2
789,4,3,2,4,3
790,5,3,1,4,4
791,4,3,5,3,1
792,2,5,4,1,5
793,2,4,2,2,2
794,3,4,3,2,5
795,1,1,4,2,2
796,2,2,4,3,3
797,3,4,2,5,5
798,1,2,5,3,5
799,4,3,3,1,2
800,5,1,4,2,5
801,5,3,1,5,2
802,3,2,5,2,3
803,4,2,3,2,5
804,5,5,5,2,3
805,5,2,1,4,3
806,2,5,3,1,2
807,2,4,2,2,2
808,5,5,1,3,4
809,2,4,3,2,1
810,3,3,2,2,4
811,1,5,3,5,2
812,4,3,5,1,4
813,1,4,1,1,3
814,3,3,5,4,4
815,4,2,2,5,2
816,2,3,3,3,5
817,4,1,3,3,2
818,2,4,4,5,1
819,3,2,5,1,5
820,5,4,3,4,3
821,1,3,1,1,2
822,4,4,4,2,1
823,2,5,2,2,4
824,4,2,5,2,2
825,2,1,1,4,1
826,3,2,5,3,3
827,5,4,1,3,1
828,4,2,5,5,3
829,3,1,5,4,5
830,5,1,3,3,3
831,5,4,5,1,4
832,3,2,3,2,4
833,1,4,1,3,4
834,2,2,2,1,5
835,1,3,2,4,2
836,1,2,3,4,3
837,2,1,2,1,1
838,5,1,5,2,1
839,3,4,4,2,2
840,5,3,4,3,2
841,5,5,5,3,3
842,1,4,3,5,4
843,1,4,4,2,3
844,2,2,2,1,3
845,2,3,4,3,1
846,3,4,2,3,4
847,2,2,5,2,4
848,4,2,4,4,3
849,1,3,5,4,1
850,5,1,2,5,3
851,1,4,3,2,4
852,2,5,1,2,5
853,3,4,1,2,3
854,2,3,4,2,4
855,5,2,5,1,4
856,1,3,3,2,1
857,4,1,4,5,5
858,5,2,2,4,4
859,4,2,4,3,2
860,3,2,3,3,1
861,1,5,3,4,3
862,1,3,4,4,1
863,2,2,3,3,2
864,4,4,2,5,4
865,1,5,2,1,5
866,1,5,3,4,3
867,3,1,5,5,5
868,5,5,5,2,3
869,2,1,3,1,2
870,3,4,1,2,4
871,5,4,1,5,1
872,3,1,2,2,5
873,1,5,3,3,3
874,2,1,2,2,2
875,5,2,4,3,4
876,2,3,4,4,1
877,2,3,1,4,5
878,2,1,5,4,2
879,1,1,3,1,4
880,4,4,3,5,4
881,2,5,3,5,2
882,3,2,5,4,2
883,4,3,3,4,5
884,1,1,3,4,1
885,5,1,5,3,3
886,1,4,5,2,3
887,1,2,3,4,5
888,5,3,4,3,2
889,2,3,3,2,2
890,4,1,2,2,4
891,3,5,1,1,4
892,5,5,1,4,1
893,4,5,4,1,3
894,1,2,1,3,2
895,3,1,3,4,1
896,1,5,4,5,4
897,4,3,2,5,3
898,5,5,5,3,3
899,4,3,3,3,4
900,3,3,4,1,2
901,1,4,1,2,5
902,5,5,4,2,5
903,3,1,1,1,3
904,5,1,3,3,1
905,4,3,5,5,2
906,3,5,4,5,1
907,3,5,2,3,3
908,1,3,5,4,1
909,2,4,2,2,5
910,2,2,4,2,1
911,3,3,2,5,2
912,5,1,1,2,4
913,5,5,2,3,5
914,3,4,3,3,5
915,2,5,2,5,2
916,1,2,4,5,4
917,2,2,4,3,1
918,5,1,2,4,1
919,2,3,1,5,1
920,1,4,2,5,1
921,4,4,2,1,4
922,1,1,1,5,4
923,5,2,5,2,3
924,2,2,4,1,4
925,3,2,1,2,1
926,1,3,3,2,1
927,4,1,4,5,2
928,2,3,4,3,3
929,2,2,3,5,3
930,2,5,3,1,3
931,3,3,3,5,3
932,2,3,2,1,4
933,2,1,3,3,2
934,3,2,1,2,5
935,5,1,4,3,4
936,1,5,5,4,2
937,4,2,3,5,2
938,5,2,4,2,5
939,5,5,3,2,2
940,1,3,5,1,1
941,1,4,4,3,5
942,5,2,2,4,4
943,4,5,1,4,2
944,3,1,5,1,1
945,5,3,3,4,5
946,3,5,4,4,5
947,4,1,1,4,5
948,3,3,3,5,1
949,3,1,3,5,1
950,1,4,2,3,4
951,1,3,4,2,2
952,4,1,3,3,4
953,3,4,1,5,3
954,3,4,4,5,2
955,4,1,3,4,2
956,4,5,3,2,4
957,5,1,5,5,5
958,1,1,4,1,2
959,3,1,2,4,5
960,1,2,5,4,4
961,3,1,4,1,5
