,rd_2,rd_32,rd_128,rd_512,rd_1024
0,2,4,2,3,2
1,3,2,3,2,2
2,2,3,4,3,2
3,4,3,1,2,4
4,3,3,1,5,3
5,4,4,1,1,2
6,2,5,3,1,3
7,2,2,1,4,5
8,5,2,2,4,5
9,5,5,3,4,4
10,3,4,5,3,1
11,3,2,4,3,3
12,3,4,2,1,5
13,3,1,4,2,5
14,1,4,2,4,3
15,2,1,3,2,1
16,3,1,5,2,2
17,1,3,1,3,2
18,1,4,4,2,2
19,5,1,5,2,2
20,1,5,5,2,4
21,1,5,2,4,1
22,3,4,5,2,3
23,2,5,3,2,1
24,4,5,1,1,5
25,4,1,2,5,1
26,4,1,3,3,1
27,4,1,2,2,4
28,2,4,3,3,4
29,4,5,4,5,3
30,3,1,1,3,1
31,5,4,2,5,5
32,4,2,5,2,5
33,1,3,5,5,1
34,5,4,4,4,2
35,4,5,4,2,1
36,3,2,4,5,3
37,2,4,3,2,5
38,4,2,2,2,3
39,5,2,5,5,3
40,4,1,5,1,2
41,4,3,3,5,2
42,3,3,5,4,4
43,5,1,4,4,3
44,5,1,5,1,3
45,1,2,2,5,3
46,1,2,3,4,4
47,2,2,4,2,2
48,4,4,5,4,5
49,5,2,1,5,2
50,4,2,1,2,1
51,5,2,5,2,2
52,4,3,4,2,3
53,4,5,5,1,1
54,4,4,2,1,2
55,4,4,2,1,1
56,3,1,2,2,5
57,5,4,4,1,3
58,1,4,3,4,2
59,4,1,4,1,4
60,2,3,3,2,1
61,2,5,1,1,5
62,3,5,2,4,3
63,5,2,5,2,4
64,5,5,2,1,2
65,1,2,5,2,4
66,2,3,3,3,2
67,2,2,2,4,1
68,1,2,4,2,4
69,1,2,4,2,5
70,1,3,3,4,2
71,1,5,3,2,2
72,3,3,5,1,2
73,4,3,1,4,5
74,3,3,5,2,5
75,3,5,2,1,3
76,4,5,4,4,1
77,2,5,2,4,2
78,4,5,4,2,3
79,5,3,4,4,5
80,2,4,3,2,3
81,5,1,1,3,3
82,2,3,1,2,5
83,2,3,2,4,4
84,1,2,2,3,5
85,3,2,2,5,4
86,2,1,5,3,3
87,5,5,2,2,1
88,5,5,2,1,5
89,3,1,4,5,3
90,2,3,4,3,5
91,2,1,2,5,2
92,5,3,2,4,1
93,1,5,1,1,1
94,4,2,4,1,4
95,5,4,4,2,1
96,5,3,4,3,2
97,5,1,2,1,3
98,5,5,3,3,2
99,2,1,1,1,3
100,4,5,3,4,1
101,1,4,5,5,1
102,2,4,1,3,2
103,4,4,3,4,1
104,2,4,4,2,5
105,5,3,2,1,4
106,4,4,4,4,2
107,3,4,4,4,4
108,3,4,5,3,4
109,1,1,1,4,4
110,4,1,4,1,4
111,3,3,5,2,3
112,1,4,3,2,3
113,4,1,3,5,1
114,1,2,2,1,4
115,5,2,4,3,1
116,2,2,2,1,4
117,3,1,3,3,3
118,4,3,4,5,5
119,2,4,4,2,1
120,3,5,5,2,5
121,5,3,3,2,3
122,5,2,3,2,3
123,4,2,3,1,4
124,5,3,4,5,1
125,3,5,5,3,3
126,2,5,3,2,2
127,2,3,1,2,2
128,1,4,1,1,5
129,2,5,5,5,5
130,3,4,4,4,2
131,4,1,5,5,1
132,5,4,2,4,4
133,4,1,3,2,2
134,3,5,3,1,1
135,4,2,3,1,3
136,4,2,5,2,3
137,1,4,5,3,4
138,4,4,4,4,5
139,4,1,4,5,2
140,5,2,3,1,4
141,2,2,5,4,3
142,1,2,2,1,4
143,1,3,4,4,3
144,5,3,1,5,2
145,1,3,4,5,4
146,2,2,1,1,1
147,4,2,4,1,2
148,2,3,2,4,1
149,5,2,4,4,5
150,4,5,2,1,2
151,4,2,2,1,5
152,3,5,3,4,1
153,5,3,5,1,1
154,3,1,2,4,2
155,3,4,4,1,1
156,3,4,3,4,4
157,1,1,5,4,3
158,2,4,2,3,1
159,4,5,2,1,2
160,3,4,3,5,2
161,1,4,2,4,3
162,5,4,4,5,4
163,3,4,3,3,4
164,2,4,1,4,4
165,4,5,5,4,5
166,4,2,5,1,5
167,4,4,2,2,3
168,4,3,3,2,3
169,2,2,5,5,4
170,5,4,4,4,3
171,2,3,4,3,4
172,2,2,4,4,1
173,1,2,4,1,2
174,3,2,3,3,2
175,3,5,1,5,2
176,4,5,5,5,5
177,3,4,5,3,2
178,4,2,1,3,2
179,3,4,5,4,4
180,3,5,1,3,4
181,1,5,3,3,2
182,2,2,5,2,5
183,1,4,3,5,1
184,4,4,1,3,1
185,2,5,1,1,1
186,5,3,5,3,4
187,5,5,1,3,1
188,1,3,2,3,2
189,5,5,1,3,4
190,5,2,5,2,2
191,4,5,3,1,3
192,3,4,5,3,1
193,2,1,1,2,1
194,2,5,4,4,4
195,5,2,1,4,4
196,4,3,1,3,1
197,1,4,2,1,2
198,3,5,4,3,3
199,1,2,2,5,1
200,2,5,1,1,2
201,2,4,3,2,3
202,3,1,5,4,4
203,4,4,3,3,3
204,1,1,3,4,3
205,3,1,3,3,1
206,4,4,1,3,2
207,5,5,2,4,2
208,3,3,3,1,5
209,3,1,3,4,1
210,4,1,5,1,1
211,5,5,4,5,4
212,1,5,3,3,3
